imdb_id,production_cost
tt0421082,
tt0796368,
tt0385726,
tt1037218,
tt1054580,
tt1422020,
tt1405500,
tt1683526,
tt2334649,
tt2370248,
tt0816442,
tt2567712,
tt2097298,
tt0995868,
tt3416744,
tt0903657,
tt3344694,
tt1198156,
tt2394063,
tt0787524,
tt3638396,
tt5168192,
tt0460829,
tt0486655,
tt0424880,
tt0421715,
tt0488120,
tt0986233,
tt0814075,
tt1155592,
tt1078188,
tt0460791,
tt0775488,
tt1226774,
tt1229822,
tt1179947,
tt1440292,
tt0843358,
tt1441912,
tt1740047,
tt1343092,
tt1614989,
tt1912398,
tt1204340,
tt2150209,
tt1707386,
tt1839654,
tt1587310,
tt2076220,
tt1839492,
tt1924394,
tt1865505,
tt2205697,
tt2347569,
tt1854513,
tt2609912,
tt1638002,
tt2167266,
tt2866360,
tt3104818,
tt3169706,
tt3139086,
tt2884206,
tt3416742,
tt3268458,
tt1441953,
tt3704050,
tt3451230,
tt5661030,
tt1013753,20000000.0
tt0918927,20000000.0
tt2024544,20000000.0
tt2911666,20000000.0
tt1810683,20000000.0
tt1020072,20000000.0
tt2674426,20000000.0
tt0383574,200000000.0
tt0468569,185000000.0
tt0425210,27000000.0
tt0454848,45000000.0
tt0373889,150000000.0
tt0434409,54000000.0
tt0417741,250000000.0
tt0460989,6500000.0
tt0482571,40000000.0
tt0498380,19000000.0
tt0420223,30000000.0
tt0398808,60000000.0
tt0448134,50000000.0
tt0450259,100000000.0
tt0407887,90000000.0
tt0396171,50000000.0
tt0443543,40000000.0
tt0472043,40000000.0
tt0463998,21000000.0
tt0443706,65000000.0
tt0382932,150000000.0
tt0765443,51500000.0
tt0824747,55000000.0
tt0443680,30000000.0
tt0838221,16000000.0
tt0452623,19000000.0
tt0765429,100000000.0
tt0426931,25000000.0
tt0907657,160000.0
tt0758758,15000000.0
tt0477348,25000000.0
tt0404390,17000000.0
tt0780536,15000000.0
tt0936501,25000000.0
tt0892769,165000000.0
tt0435761,200000000.0
tt0432283,40000000.0
tt0988045,90000000.0
tt1130884,80000000.0
tt0480025,2380000.0
tt0887912,15000000.0
tt0926084,250000000.0
tt1201607,125000000.0
tt0408236,50000000.0
tt1049413,175000000.0
tt1227926,200000.0
tt0914798,12500000.0
tt1182345,5000000.0
tt0499549,237000000.0
tt1197624,53000000.0
tt1057500,60000000.0
tt0840361,37000000.0
tt1250777,28000000.0
tt0978762,590235.0
tt1190536,2900000.0
tt1375666,160000000.0
tt0790712,6500000.0
tt1028532,16000000.0
tt0485947,47000000.0
tt1191111,13000000.0
tt0381061,150000000.0
tt1341167,967686.0
tt1542344,18000000.0
tt0947798,13000000.0
tt1403865,38000000.0
tt0970179,170000000.0
tt1504320,15000000.0
tt0945513,32000000.0
tt1465522,5000000.0
tt1345836,250000000.0
tt1454468,105000000.0
tt0903624,250000000.0
tt1189340,40000000.0
tt1219289,27000000.0
tt1170358,250000000.0
tt1568911,66000000.0
tt1515091,125000000.0
tt1605783,30000000.0
tt1291584,25000000.0
tt1318514,93000000.0
tt0780504,15000000.0
tt1675192,5000000.0
tt0490215,46000000.0
tt1024648,44500000.0
tt1242460,7000000.0
tt1670345,75000000.0
tt1392190,150000000.0
tt1855199,7000000.0
tt1649419,42000000.0
tt1446192,145000000.0
tt1772341,165000000.0
tt1646971,145000000.0
tt2042568,11000000.0
tt0454876,120000000.0
tt1979320,38000000.0
tt0993846,100000000.0
tt1981677,17000000.0
tt1109624,55000000.0
tt0359950,90000000.0
tt2103281,170000000.0
tt2194499,12000000.0
tt2310332,250000000.0
tt1877832,250000000.0
tt1821549,12000000.0
tt1490017,60000000.0
tt1457767,13000000.0
tt2488496,245000000.0
tt2140373,35000000.0
tt1392214,46000000.0
tt2096673,175000000.0
tt0790636,5000000.0
tt1798709,23000000.0
tt1924396,13500000.0
tt0816692,165000000.0
tt2101473,32000000.0
tt2245084,165000000.0
tt2381249,150000000.0
tt1980929,8000000.0
tt1790864,34000000.0
tt1638355,75000000.0
tt2084970,14000000.0
tt2397535,5500000.0
tt2802144,81000000.0
tt2267998,61000000.0
tt1809398,65000000.0
tt2262227,50000000.0
tt2872718,8500000.0
tt3077214,14000000.0
tt3183660,180000000.0
tt3065204,40000000.0
tt3170832,6000000.0
tt0470752,15000000.0
tt2948356,150000000.0
tt0900387,15000000.0
tt3460252,44000000.0
tt3397884,30000000.0
tt1398426,28000000.0
tt1663202,135000000.0
tt1365050,6000000.0
tt1211837,165000000.0
tt3659388,108000000.0
tt3799694,50000000.0
tt3037582,722083.0
tt1431045,58000000.0
tt1655441,25000000.0
tt3682448,40000000.0
tt4172430,50000000.0
tt3774114,40000000.0
tt1798684,30000000.0
tt3850214,700000.0
tt1754656,64000000.0
tt4228746,1556288.0
tt4276820,25000000.0
tt3783958,30000000.0
tt4005402,14000000.0
tt1083452,23000000.0
tt3499096,5000000.0
tt2119532,40000000.0
tt3531824,19000000.0
tt2543164,47000000.0
tt2057392,13000000.0
tt3553976,5000000.0
tt2582782,12000000.0
tt2261287,30000000.0
tt3263904,60000000.0
tt3544112,4000000.0
tt4540710,13000000.0
tt3606888,8000000.0
tt0448124,12000000.0
tt0431308,30000000.0
tt0976051,32000000.0
tt1125849,6000000.0
tt1010048,15000000.0
tt0817177,14000000.0
tt1563738,15000000.0
tt1606389,30000000.0
tt1714210,8000.0
tt1659337,13000000.0
tt2209418,3000000.0
tt2381111,11000000.0
tt2582846,12000000.0
tt2726560,34000000.0
tt1972779,26000000.0
tt3125324,7000000.0
tt2402927,11800000.0
tt2980516,15000000.0
tt1658801,7000000.0
tt0458352,35000000.0
tt0805564,12000000.0
tt0467406,7500000.0
tt1022603,7500000.0
tt1570728,50000000.0
tt1655442,15000000.0
tt1045658,21000000.0
tt1748122,16000000.0
tt5247022,5000000.0
tt0449059,8000000.0
tt0825232,45000000.0
tt1560139,3.0
tt1306980,8000000.0
tt1431181,8000000.0
tt1423894,30000000.0
tt0431461,1000000.0
tt1692486,25000000.0
tt2278388,30000000.0
tt2244376,11178.0
tt1954701,300000.0
tt1727388,4600000.0
tt2334873,18000000.0
tt2562232,18000000.0
tt1596363,28000000.0
tt1878870,9000000.0
tt1156398,23600000.0
tt1568346,90000000.0
tt1853728,100000000.0
tt1535109,55000000.0
tt0455944,55000000.0
tt2294449,50000000.0
tt2713180,68000000.0
tt0440963,70000000.0
tt0783233,30000000.0
tt0425112,12000000.0
tt0206634,76000000.0
tt0361748,70000000.0
tt1131729,50000000.0
tt0446029,60000000.0
tt1596343,125000000.0
tt1690953,76000000.0
tt1091191,40000000.0
tt1895587,20000000.0
tt4550098,22500000.0
tt4972582,9000000.0
tt0829482,20000000.0
tt1119646,35000000.0
tt1210071,10000000.0
tt2112999,250000.0
tt2321513,380000.0
tt2883512,11000000.0
tt2170593,13000000.0
tt2361509,35000000.0
tt0454921,55000000.0
tt0455590,6000000.0
tt0490204,20000000.0
tt0469494,25000000.0
tt0903627,6000000.0
tt0419887,20000000.0
tt1078588,30000000.0
tt0814314,55000000.0
tt1205489,33000000.0
tt0469903,40000000.0
tt1129423,500000.0
tt0962736,35000000.0
tt0878804,29000000.0
tt0460611,6500000.0
tt1285016,40000000.0
tt1244754,12500000.0
tt0964517,25000000.0
tt0465407,2500000.0
tt1454029,25000000.0
tt1554091,10000000.0
tt1613062,4000000.0
tt1210166,50000000.0
tt1560747,32000000.0
tt1723811,6500000.0
tt1065073,4000000.0
tt1935179,10000000.0
tt1932767,6000000.0
tt1327773,25000000.0
tt2431286,12000000.0
tt1872194,50000000.0
tt2404181,10900000.0
tt2980648,22000000.0
tt2305051,15000000.0
tt2582802,3300000.0
tt1355630,11000000.0
tt3612616,4900000.0
tt3316960,5000000.0
tt3203606,15000000.0
tt2404425,11000000.0
tt0810819,15000000.0
tt3076658,37000000.0
tt4341582,15000000.0
tt3322364,35000000.0
tt4034228,9000000.0
tt3741834,12000000.0
tt4385888,7000000.0
tt2392830,8138338.0
tt4975722,4000000.0
tt4846340,25000000.0
tt4950110,1500000.0
